Chassis,Time,Product,Media,Yield,marker,facecolor,alpha,xcompensate,ycompensate_ratio
Komagataella phaffii,2002.208333,Lipase,Minimal,9,o,green,0.3,-1,-0.2
Komagataella phaffii,1999.208333,Gelatin,Minimal,43,o,green,0.3,-1,0.2
Komagataella phaffii,2015.291667,Lipase,Minimal,43,o,green,0.3,-3,0
Komagataella phaffii,2016.791667,Protease,Minimal,37,o,green,0.3,-1,-0.2
Komagataella phaffii,2023.541667,Phytase,Minimal,11,o,green,0.3,-1,-0.2
Komagataella phaffii,2005.125,HSA,Minimal,59,o,green,0.3,1,0
Komagataella phaffii,2015.708333,Phytase,Minimal,65,o,green,0.3,-3,0.2
Komagataella phaffii,2006.291667,Phytase,Minimal,89,o,green,0.3,-1,0.2
Komagataella phaffii,2017.208333,Laccase,Minimal,7,o,green,0.3,-1,-0.2
Komagataella phaffii,2015.208333,Laccase,Minimal,6,o,green,0.3,0,-0.3
Komagataella phaffii,2025.208333,Chaperone,Minimal,1,o,green,0.3,-1,-0.2
Komagataella phaffii,2023.041667,PETase,Minimal,17,o,green,0.3,-1,0.1
Komagataella phaffii,2023.958333,GOS,Minimal,357,o,green,0.3,-1,-0.2
Komagataella phaffii,2023.458333,PETase,Minimal,4,o,green,0.3,-3,-0.2
Komagataella phaffii,2001.291667,Nanobody,Minimal,0.6,o,green,0.3,-1,-0.2
Komagataella phaffii,2012.791667,Snake venom,Minimal,3,o,green,0.3,-1,-0.2
Komagataella phaffii,2022.875,Collagen,Minimal,16,o,green,0.3,-5,0.05
Komagataella phaffii,2022.875,Collagen,Minimal,23,o,green,0.3,-3,0.05
Komagataella phaffii,2026.458333,Nanobody,Minimal,97,o,green,0.3,-1,0.1
Ogataea (para)polymorpha,1999.375,Phytase,Minimal,108,^,green,0.3,-1,-0.2
Ogataea (para)polymorpha,2016.375,Streptavidin,Minimal,13,^,green,0.3,-1,0.1
Kluyveromyces marxianus,1994.791667,HSA,Minimal,2,p,green,0.3,-1,-0.2
Candida boidinii,1996.541667,Amylase,Minimal,39,s,green,0.3,-1,-0.2
Candida boidinii,2002.458333,Cathepsin,Minimal,0.3,s,green,0.3,-1,-0.2
Komagataella phaffii,2025.625,Ovomucoid,Rich,5,o,black,0.5,-1,0.1
Komagataella phaffii,2021.375,Prochymosin,Rich,0.8,o,black,0.5,-1,-0.2
Komagataella phaffii,2017.125,ScFv,Rich,7,o,black,0.5,-1,0.1
Komagataella phaffii,2025.541667,Antibody,Rich,62,o,black,0.5,-1,-0.15
Komagataella phaffii,2011.708333,Biosimilar,Rich,23,o,black,0.5,-3,-0.2
Komagataella phaffii,2024.458333,Nanobody,Rich,214,o,black,0.5,-1,-0.2
Komagataella phaffii,2018.208333,HSA,Rich,87,o,black,0.5,-1,-0.2
Komagataella phaffii,2024.958333,Nanobody,Rich,17,o,black,0.5,-5,-0.3
Komagataella phaffii,2024.125,Lipase,Rich,54,o,black,0.5,-3,0.2
Komagataella phaffii,2024.458333,Lactoferrin,Rich,29,o,black,0.5,-5,-0.05
Komagataella phaffii,2026.208333,Collegan,Rich,84,o,black,0.5,-4,-0.1
Ogataea (para)polymorpha,2010.875,HSA,Rich,207,^,black,0.5,-1,-0.2
Ogataea (para)polymorpha,2007.541667,HSA,Rich,6,^,black,0.5,-1,-0.2
Ogataea (para)polymorpha,2012.958333,Staphylokinase,Rich,9,^,black,0.5,-3,-0.2
Saccharomyces cerevisiae,2022.208333,Affibody,Rich,5,D,black,0.5,-2,0.2
Saccharomyces cerevisiae,2018.875,Amylase,Rich,25,D,black,0.5,-1,-0.2
Saccharomyces cerevisiae,2000.125,Nanobody,Rich,23,D,black,0.5,-1,-0.2
Saccharomyces cerevisiae,2013.958333,Amylase,Rich,14,D,black,0.5,-1,0.2
Saccharomyces cerevisiae,2012.958333,Insulin,Rich,4,D,black,0.5,1,-0.2
Saccharomyces cerevisiae,2024.625,Ovalbumin,Rich,4,D,black,0.5,-1,-0.2
Saccharomyces cerevisiae,2016.458333,Antibody,Rich,0.9,D,black,0.5,-1,-0.2
Saccharomyces cerevisiae,2026.125,Amylase,Rich,87,D,black,0.5,-4,0.1
Kluyveromyces lactis,2013.625,Brazzein,Rich,5,*,black,0.5,-4,0
Kluyveromyces lactis,2014.958333,Lipase,Rich,12,*,black,0.5,-1,-0.2
Kluyveromyces lactis,2004.958333,Lysozyme,Rich,10,*,black,0.5,-1,0.2
Kluyveromyces lactis,1997.625,Xylanase,Rich,13,*,black,0.5,-1,-0.2
Kluyveromyces marxianus,1991.791667,HSA,Rich,37,p,black,0.5,-1,-0.2
Candida boidinii,2004.541667,Transglutaminase,Rich,4,s,black,0.5,-1,-0.2
Yarrowia lipolytica,2022.541667,Lysozyme,Rich,1,v,black,0.5,-2,0.2
Cyberlindnera jadinii ,2025.958333,Invertase,Rich,31,h,black,0.5,-1,-0.2
Komagataella phaffii,2012.791667,Monooxygenase,Rich->minimal,24,o,grey,0.3,-4,0.2
Komagataella phaffii,2016.041667,Lipase,Rich->minimal,49,o,grey,0.3,1,0
Komagataella phaffii,2005.125,Phytase,Rich->Minimal,48,o,grey,0.3,-1,-0.2
Komagataella phaffii,2011.791667,Biosimilar,Rich->Minimal,12,o,grey,0.3,-3,-0.2
Komagataella phaffii,2025.541667,HSA,Rich->Minimal,37,o,grey,0.3,-2,0
Komagataella phaffii,2025.541667,Glucanase,Rich->Minimal,15,o,grey,0.3,-1,-0.2
Komagataella phaffii,2025.541667,Amylase,Rich->Minimal,16,o,grey,0.3,0,0.2
Komagataella phaffii,2022.958333,FAB,Rich->Minimal,3,o,grey,0.3,-1,-0.2
Komagataella phaffii,2025.708333,Leghemoglobin,Rich->Minimal,48,o,grey,0.3,-7,-0.1
